Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
FENATX,9.1002,2015/04/10,20:01 EDT,0.0603,,,,,,,,,,,
UBVSX,66.38,2017/08/04,17:44 EDT,0.44,,,,,,,,,,,
UBVUX,66.37,2017/08/04,17:44 EDT,0.44,,,,,,,,,,,
CRMSX,18.09,2017/08/04,17:09 EDT,0.12,,,,,,,,,,,
SCPCX,12.06,2015/10/15,18:45 EDT,0.08000088,,,,,,,,,,,
KACIX,16.58,2017/08/04,17:16 EDT,0.11,,,,,,,,,,,
MOORX,15.06,2017/08/04,17:14 EDT,0.1,,,,,,,,,,,
MGWAX,15.06,2017/08/04,17:31 EDT,0.1,,,,,,,,,,,
MFNDX,14.4963,2016/08/19,20:01 EDT,0.0963,,,,,,,,,,,
HMVJX,15.04,2017/08/04,17:18 EDT,0.1,,,,,,,,,,,
FYSEIX,6.4429,2017/06/06,20:01 EDT,0.0429,,,,,,,,,,,
MUSRX,21.02,2017/08/04,16:56 EDT,0.14,,,,,,,,,,,
FHEKMX,9.5929,2015/12/02,20:01 EST,0.0639,,,,,,,,,,,
MCCRX,15.01,2017/08/04,17:14 EDT,0.1,,,,,,,,,,,
IEHCSX,10.7015,2017/08/04,17:26 EDT,0.0713,,,,,,,,,,,
DCZRX,24.0,2017/08/04,17:24 EDT,0.16,,,,,,,,,,,
AGRBJX,9.8373,2017/08/04,17:14 EDT,0.0656,0.0,0.0,0.0,0,,,,,,,
UBVRX,64.47,2017/08/04,17:44 EDT,0.43,,,,,,,,,,,
ETGLX,29.98,2017/08/04,16:55 EDT,0.2,,,,,,,,,,,
DCCIX,23.98,2017/08/04,17:24 EDT,0.16,,,,,,,,,,,
SLPBX,17.98,2017/01/24,20:00 EST,0.12,,,,,,,,,,,
TSDSDX,8.7023,2015/09/29,20:01 EDT,0.0581,,,,,,,,,,,
FNTBLX,14.082,2014/08/22,20:01 EDT,0.0941,,,,,,,,,,,
IFFBX,10.47,2017/05/09,20:00 EDT,0.07,,,,,,,,,,,
FPWNUX,7.9828,2016/03/03,20:01 EST,0.0534,,,,,,,,,,,
UBVCX,61.28,2017/08/04,17:44 EDT,0.41,,,,,,,,,,,
ETAGX,29.88,2017/08/04,16:55 EDT,0.2,,,,,,,,,,,
GTCCX,22.41,2017/08/04,17:31 EDT,0.15,,,,,,,,,,,
QUSVX,23.9,2017/08/04,17:16 EDT,0.16,,,,,,,,,,,
LCSIX,8.96,2017/08/03,20:01 EDT,0.06,,,,,,,,,,,
FAUELX,8.9646,2015/04/22,20:01 EDT,0.0601,,,,,,,,,,,
FNIORX,11.615,2015/05/04,11:19 EDT,0.0779,,,,,,,,,,,
KMKAX,20.85,2017/08/04,17:31 EDT,-0.02,,,,,,,,,,,
BRUYX,10.43,2017/08/04,17:16 EDT,0.07,,,,,,,,,,,
ARTLX,14.9,2017/08/04,17:39 EDT,0.1,,,,,,,,,,,
CTXRX,11.92,2016/05/23,05:37 EDT,0.08,,,,,,,,,,,
VGENX,49.17,2017/08/04,17:31 EDT,0.33,,,,,,,,,,,
ENPIX,32.75,2017/08/04,17:43 EDT,0.22,,,,,,,,,,,
FGYEOX,13.3351,2014/10/03,20:01 EDT,0.0896,,,,,,,,,,,
