RESULT_COUNT: 3074,PAGE_SIZE: 10000,CURRENT_PAGE: 1,TOTAL_PAGES: 1,API_CALL_CREDITS: 1
TICKER,FIGI_TICKER,FIGI,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,EX_DIVIDEND,SPLIT_RATIO,ADJ_OPEN,ADJ_HIGH,ADJ_LOW,ADJ_CLOSE,ADJ_VOLUME
ACIA,ACIA:UW,BBG00BR4R873,2017-02-27,54.37,54.61,52.6,53.0,1983106.0,0.0,1.0,54.37,54.61,52.6,53.0,1983106.0
ACIU,ACIU:US,BBG00D0RHJ38,2017-02-27,12.01,12.48,11.84,12.26,22670.0,0.0,1.0,12.01,12.48,11.84,12.26,22670.0
ACIW,ACIW:UW,BBG000PMC3K1,2017-02-27,20.25,20.58,20.175,20.56,591331.0,0.0,1.0,20.25,20.58,20.175,20.56,591331.0
ACLS,ACLS:UW,BBG000DW4H02,2017-02-27,15.9,16.35,15.85,16.0,243878.0,0.0,1.0,15.9,16.35,15.85,16.0,243878.0
ACNB,ACNB:US,BBG000BJ2LY9,2017-02-27,29.05,29.6,29.05,29.25,6235.0,0.2,1.0,28.8450617283951,29.3911816578483,28.8450617283951,29.0436507936508,6235.0
ACOR,ACOR:UW,BBG000FD2JN5,2017-02-27,24.85,27.85,24.8,27.4,1441755.0,0.0,1.0,24.85,27.85,24.8,27.4,1441755.0
ACRS,ACRS:UW,BBG009T0QMM7,2017-02-27,30.7,32.3,29.92,32.08,314275.0,0.0,1.0,30.7,32.3,29.92,32.08,314275.0
ACRX,ACRX:US,BBG0018YYFX7,2017-02-27,3.1,3.2,3.05,3.2,361975.0,0.0,1.0,3.1,3.2,3.05,3.2,361975.0
ACSF,ACSF:UW,BBG004XQWD21,2017-02-27,12.95,12.95,12.75,12.9,34893.0,0.0,1.0,12.4838259771031,12.4838259771031,12.2910255759124,12.4356258768054,34893.0
ACST,ACST:US,BBG001NMDXS6,2017-02-27,1.18,1.2,1.16,1.19,67040.0,0.0,1.0,1.18,1.2,1.16,1.19,67040.0
ACTA,ACTA:UW,BBG000BB7N68,2017-02-27,13.9,14.05,13.75,13.8,110925.0,0.0,1.0,13.9,14.05,13.75,13.8,110925.0
ACTG,ACTG:UW,BBG000KF9X01,2017-02-27,5.75,6.0,5.745,5.9,218294.0,0.0,1.0,5.75,6.0,5.745,5.9,218294.0
ACTX,ACTX:US,BBG008LS9D90,2017-02-27,14.8325,14.8325,14.8325,14.8325,100.0,0.0,1.0,14.8325,14.8325,14.8325,14.8325,100.0
ACWI,ACWI:US,BBG000TH6VB3,2017-02-27,62.48,62.63,62.41,62.63,1179671.0,0.0,1.0,62.48,62.63,62.41,62.63,1179671.0
ACWX,ACWX:US,BBG000TH7DF8,2017-02-27,42.42,42.5254,42.38,42.47,292267.0,0.0,1.0,42.42,42.5254,42.38,42.47,292267.0
ACXM,ACXM:UW,BBG000BB4VV5,2017-02-27,29.34,29.56,28.9901,29.15,347482.0,0.0,1.0,29.34,29.56,28.9901,29.15,347482.0
ADAP,ADAP:UW,BBG008G664R7,2017-02-27,4.0,4.12,3.98,4.11,51706.0,0.0,1.0,4.0,4.12,3.98,4.11,51706.0
ADBE,ADBE:UW,BBG000BB5BP5,2017-02-27,119.02,119.199,118.07,118.78,1550480.0,0.0,1.0,119.02,119.199,118.07,118.78,1550480.0
ADES,ADES:US,BBG000JFNL85,2017-02-27,10.93,11.32,10.74,11.06,97534.0,0.0,1.0,10.6396174282678,11.0192561105207,10.4546652497343,10.7661636556854,97534.0
ADHD,ADHD:US,BBG003TQYJG8,2017-02-27,1.25,1.4578,1.24,1.38,2592264.0,0.0,1.0,1.25,1.4578,1.24,1.38,2592264.0
ADI,ADI:UW,BBG000BB6RX0,2017-02-27,81.65,82.43,81.24,82.28,1793205.0,0.0,1.0,81.1979515255906,81.9736331200787,80.7902214566929,81.8244635826772,1793205.0
ADMA,ADMA:US,BBG002NCK5M5,2017-02-27,4.8,4.8,4.53,4.75,65055.0,0.0,1.0,4.8,4.8,4.53,4.75,65055.0
ADMP,ADMP:US,BBG000BYB544,2017-02-27,3.25,3.35,3.2,3.3,242239.0,0.0,1.0,3.25,3.35,3.2,3.3,242239.0
ADMS,ADMS:US,BBG00203JGZ4,2017-02-27,17.2,18.38,17.18,18.08,185719.0,0.0,1.0,17.2,18.38,17.18,18.08,185719.0
ADP,ADP:UW,BBG000JG1MT2,2017-02-27,102.93,103.14,102.47,102.7,1188346.0,0.0,1.0,101.792564807086,102.00024418734,101.337648069388,101.565106438237,1188346.0
ADRA,ADRA:US,BBG000PK5975,2017-02-27,29.4,29.4,29.4,29.4,2201.0,0.0,1.0,29.3692275651039,29.3692275651039,29.3692275651039,29.3692275651039,2201.0
ADRD,ADRD:US,BBG000PK4SQ3,2017-02-27,20.68,20.79,20.68,20.77,3311.0,0.0,1.0,20.2507073241058,20.3584238524256,20.2507073241058,20.3388390290947,3311.0
ADRE,ADRE:US,BBG000FQ6838,2017-02-27,36.12,36.2559,36.12,36.18,6760.0,0.0,1.0,35.948571702567,36.083826710717,35.948571702567,36.0082869379533,6760.0
ADRO,ADRO:UW,BBG0088NM482,2017-02-27,11.3,11.65,11.15,11.6,386363.0,0.0,1.0,11.3,11.65,11.15,11.6,386363.0
ADRU,ADRU:US,BBG000B9YTT5,2017-02-27,19.9901,19.9901,19.9901,19.9901,0.0,0.0,1.0,19.5449642076789,19.5449642076789,19.5449642076789,19.5449642076789,0.0
ADSK,ADSK:UW,BBG000BM7TD3,2017-02-27,87.47,87.9462,86.58,87.74,1535237.0,0.0,1.0,87.47,87.9462,86.58,87.74,1535237.0
ADTN,ADTN:UW,BBG000C4KDF0,2017-02-27,21.65,21.85,20.6127,21.8,284890.0,0.0,1.0,21.4720185386982,21.670374368155,20.4432460292205,21.6207854107908,284890.0
ADUS,ADUS:UW,BBG000NJKB87,2017-02-27,33.7,34.35,33.65,33.95,21545.0,0.0,1.0,33.7,34.35,33.65,33.95,21545.0
ADVM,ADVM:US,BBG006D9MR17,2017-02-27,2.7,2.75,2.65,2.75,133069.0,0.0,1.0,2.7,2.75,2.65,2.75,133069.0
ADXS,ADXS:UW,BBG000KVFGP9,2017-02-27,8.55,9.49,8.55,9.03,1838814.0,0.0,1.0,8.55,9.49,8.55,9.03,1838814.0
ADXSW,ADXSW:US,BBG005DZNTC4,2017-02-27,5.2,5.43,5.2,5.2845,5638.0,0.0,1.0,5.2,5.43,5.2,5.2845,5638.0
AEGN,AEGN:UW,BBG000KPX8F1,2017-02-27,22.38,23.31,22.35,23.0,131094.0,0.0,1.0,22.38,23.31,22.35,23.0,131094.0
AEHR,AEHR:US,BBG000BWM083,2017-02-27,4.82,5.0499,4.625,4.93,151456.0,0.0,1.0,4.82,5.0499,4.625,4.93,151456.0
AEIS,AEIS:UW,BBG000FKP386,2017-02-27,62.72,63.49,62.44,63.06,427714.0,0.0,1.0,62.72,63.49,62.44,63.06,427714.0
AEMD,AEMD:US,BBG000L78XT8,2017-02-27,3.88,3.98,3.86,3.88,27396.0,0.0,1.0,3.88,3.98,3.86,3.88,27396.0
AERI,AERI:US,BBG001KJ7WJ5,2017-02-27,44.4,47.25,44.2,46.65,629500.0,0.0,1.0,44.4,47.25,44.2,46.65,629500.0
AETI,AETI:US,BBG000BXDQR3,2017-02-27,2.0,2.05,1.9,1.95,31910.0,0.0,1.0,2.0,2.05,1.9,1.95,31910.0
AEY,AEY:US,BBG000CFWHD5,2017-02-27,1.78,1.81,1.76,1.81,82394.0,0.0,1.0,1.78,1.81,1.76,1.81,82394.0
